Height Inches,Avg. 3Pt Percent
72,32.125
73,31.625
74,37.671428571
75,35.257894737
76,35.622727273
77,39.34
78,33.06
79,36.245454545
80,32.744444444
81,34.108
82,32.123809524
83,29.19375
84,34.815789474
85,17.916666667
87,22.45
