id,fg3m,fg3a,fg2m,fg2a,3pt_percent,2pt_percent
38017733,34,75,2,14,45.3,14.3
38017734,8,17,24,36,47.1,66.7
38017735,1,5,1,4,20.0,25.0
38017736,4,9,0,1,44.4,0.0
38017737,5,5,0,0,100.0,
38017738,0,0,2,2,,100.0
38017739,57,162,50,114,35.2,43.9
38124126,9,49,19,28,18.4,67.9
39398582,0,2,25,50,0.0,50.0
39613724,0,0,0,0,,
42097199,2,18,9,24,11.1,37.5
43516144,0,4,6,9,0.0,66.7
44477024,0,0,0,0,,
44477062,0,0,1,2,,50.0
44477085,0,13,24,41,0.0,58.5
45658838,0,0,0,0,,
45969255,0,0,0,0,,
46658323,0,0,9,18,,50.0
47738533,6,8,27,41,75.0,65.9
47957121,1,8,2,5,12.5,40.0
48248287,1,3,0,0,33.3,
