id,fg3m,fg3a,fg2m,fg2a,3pt_percent,2pt_percent,first_name,last_name,height_inches,weight_pounds,position
188,54,137,141,250,39.4,56.4,Jeff,Green,81,235,3.0
189,15,52,22,56,28.8,39.3,Blake,Griffin,82,250,3.0
191,221,563,153,324,39.3,47.2,Tim,Hardaway Jr.,78,205,1.0
192,197,486,236,508,40.5,46.5,James,Harden,77,220,1.0
194,0,6,127,218,0.0,58.3,Montrezl,Harrell,80,240,3.0
196,118,266,46,110,44.4,41.8,Gary,Harris,76,210,1.0
197,76,243,40,73,31.3,54.8,Joe,Harris,78,218,3.0
199,5,17,24,46,29.4,52.2,Shaquille,Harrison,76,190,1.0
200,153,340,355,644,45.0,55.1,Tobias,Harris,81,235,3.0
201,8,31,188,338,25.8,55.6,Isaiah,Hartenstein,84,249,3.0
202,73,188,243,403,38.8,60.3,Josh,Hart,77,215,1.0
203,3,10,7,15,30.0,46.7,Udonis,Haslem,80,235,3.0
204,47,145,221,428,32.4,51.6,Gordon,Hayward,80,225,3.0
206,19,77,37,59,24.7,62.7,Juancho,Hernangomez,81,230,3.0
207,1,8,91,161,12.5,56.5,Willy,Hernangomez,83,240,5.0
210,257,617,187,350,41.7,53.4,Buddy,Hield,76,214,1.0
211,43,96,43,71,44.8,60.6,George,Hill,75,188,1.0
213,29,80,56,123,36.2,45.5,Aaron,Holiday,73,185,1.0
214,158,451,440,805,35.0,54.7,Jrue,Holiday,76,205,1.0
215,22,102,21,29,21.6,72.4,Justin,Holiday,78,181,3.0
217,8,9,60,109,88.9,55.0,Richaun,Holmes,82,235,3.0
219,177,452,121,212,39.2,57.1,Al,Horford,82,245,5.0
221,198,530,227,386,37.4,58.8,Kevin,Huerter,79,190,1.0
223,16,30,27,52,53.3,51.9,Serge,Ibaka,82,235,3.0
224,0,3,5,5,0.0,100.0,Andre,Iguodala,78,215,1.0
226,86,216,25,47,39.8,53.2,Joe,Ingles,80,226,3.0
227,61,138,248,482,44.2,51.5,Brandon,Ingram,81,190,3.0
228,226,520,395,701,43.5,56.3,Kyrie,Irving,75,193,1.0
229,5,15,27,51,33.3,52.9,Jonathan,Isaac,82,210,3.0
231,110,305,357,614,36.1,58.1,Jaren,Jackson Jr.,83,242,3.0
233,0,1,0,2,0.0,0.0,Frank,Jackson,75,205,1.0
235,6,20,0,5,30.0,0.0,Justin,Jackson,80,210,3.0
236,83,263,146,322,31.6,45.3,Reggie,Jackson,75,208,1.0
237,162,529,676,1159,30.6,58.3,LeBron,James,80,250,3.0
242,5,23,22,42,21.7,52.4,James,Johnson,80,240,3.0
243,15,34,34,61,44.1,55.7,Stanley,Johnson,79,245,3.0
246,113,266,896,1330,42.5,67.4,Nikola,Jokic,84,250,5.0
247,28,68,99,163,41.2,60.7,Derrick,Jones Jr.,79,200,3.0
248,14,23,53,76,60.9,69.7,Damian,Jones,84,245,5.0
249,112,333,211,418,33.6,50.5,Tyus,Jones,74,196,1.0
251,64,148,63,146,43.2,43.2,Cory,Joseph,75,193,1.0
252,8,17,10,22,47.1,45.5,Frank,Kaminsky,84,242,3.0
254,140,297,71,141,47.1,50.4,Luke,Kennard,77,206,1.0
257,57,149,43,59,38.3,72.9,Maxi,Kleber,83,240,3.0
259,67,211,99,167,31.8,59.3,Kevin,Knox,81,215,3.0
260,25,54,25,60,46.3,41.7,Furkan,Korkmaz,79,190,1.0
261,4,19,163,229,21.1,71.2,Luke,Kornet,85,250,3.0
265,127,447,341,661,28.4,51.6,Kyle,Kuzma,81,220,3.0
268,195,533,434,827,36.6,52.5,Zach,LaVine,77,200,1.0
272,130,296,95,216,43.9,44.0,Damion,Lee,78,210,1.0
273,0,2,20,39,0.0,51.3,Alex,Len,85,250,5.0
274,132,296,394,759,44.6,51.9,Kawhi,Leonard,79,230,3.0
