,id,fg3m,fg3a,fg2m,fg2a,3pt_percent,2pt_percent,first_name,last_name,height_inches,weight_pounds,position
185,356,74,222,119,251,33.3,47.4,Josh,Okogie,76,212,1
186,357,78,220,95,199,35.5,47.7,Victor,Oladipo,76,210,1
187,358,108,234,176,337,46.2,52.2,Kelly,Olynyk,84,240,3
188,359,142,354,133,230,40.1,57.8,Cedi,Osman,80,215,3
189,360,122,356,255,479,34.3,53.2,Kelly,Oubre Jr.,79,205,3
190,367,119,296,220,471,40.2,46.7,Chris,Paul,72,175,1
191,370,9,44,9,15,20.5,60.0,Theo,Pinson,78,218,1
192,371,0,0,352,515,,68.3,Mason,Plumlee,83,235,3
193,373,0,0,397,622,,63.8,Jakob,Poeltl,84,230,5
194,375,281,649,269,512,43.3,52.5,Michael,Porter Jr.,82,210,3
195,376,8,16,4,7,50.0,57.1,Otto,Porter Jr.,80,198,3
196,377,92,273,306,553,33.7,55.3,Bobby,Portis,83,250,3
197,378,169,376,400,701,44.9,57.1,Kristaps,Porzingis,87,240,3
198,379,0,3,216,287,0.0,75.3,Dwight,Powell,83,240,3
199,380,112,329,257,477,34.0,53.9,Norman,Powell,76,215,3
200,383,98,240,85,170,40.8,50.0,Taurean,Prince,80,220,3
201,387,250,744,484,909,33.6,53.2,Julius,Randle,81,250,3
202,390,11,38,10,26,28.9,38.5,Davon,Reed,77,208,1
203,391,106,290,138,257,36.6,53.7,Josh,Richardson,78,200,1
204,393,49,130,47,78,37.7,60.3,Austin,Rivers,76,200,1
205,397,80,209,48,83,38.3,57.8,Duncan,Robinson,80,210,3
206,399,0,0,285,433,,65.8,Mitchell,Robinson,85,240,5
207,401,27,81,48,123,33.3,39.0,Derrick,Rose,75,200,1
208,402,99,284,108,213,34.9,50.7,Terrence,Ross,79,206,1
209,403,146,468,328,662,31.2,49.5,Terry,Rozier,73,190,1
210,404,28,111,39,113,25.2,34.5,Ricky,Rubio,76,190,1
211,405,254,659,351,637,38.5,55.1,D'Angelo,Russell,77,198,1
212,406,31,102,590,967,30.4,61.0,Domantas,Sabonis,83,240,3
213,407,54,142,86,179,38.0,48.0,Dario,Saric,82,223,3
214,409,94,277,242,523,33.9,46.3,Dennis,Schroder,73,172,1
215,413,37,90,152,281,41.1,54.1,Collin,Sexton,74,190,1
216,414,67,188,39,127,35.6,30.7,Landry,Shamet,77,188,1
217,416,96,306,565,1059,31.4,53.4,Pascal,Siakam,81,230,3
218,417,0,0,107,176,,60.8,Ben,Simmons,82,230,1
219,419,116,347,136,276,33.4,49.3,Anfernee,Simons,76,185,1
220,420,165,478,194,372,34.5,52.2,Marcus,Smart,76,220,1
221,421,24,111,159,329,21.6,48.3,Dennis,Smith Jr.,75,195,1
222,422,1,7,31,87,14.3,35.6,Ish,Smith,72,175,1
223,432,33,106,98,191,31.1,51.3,Edmond,Sumner,78,176,1
224,434,225,717,545,941,31.4,57.9,Jayson,Tatum,80,208,3
225,436,16,35,8,24,45.7,33.3,Garrett,Temple,78,195,1
226,439,1,8,10,20,12.5,50.0,Daniel,Theis,80,243,3
227,443,350,853,249,572,41.0,43.5,Klay,Thompson,79,215,1
228,444,0,0,5,11,,45.5,Tristan,Thompson,82,238,5
229,447,92,264,235,421,34.8,55.8,Karl-Anthony,Towns,84,248,5
230,450,61,163,50,94,37.4,53.2,PJ,Tucker,78,245,3
231,452,83,217,263,415,38.2,63.4,Myles,Turner,83,250,5
232,455,49,111,355,626,44.1,56.7,Jonas,Valanciunas,84,265,5
233,457,20,103,283,460,19.4,61.5,Jarred,Vanderbilt,81,214,3
234,458,201,622,228,505,32.3,45.1,Fred,VanVleet,72,195,1
235,459,1,5,13,29,20.0,44.8,Noah,Vonleh,81,250,3
236,460,143,349,493,826,41.0,59.7,Nikola,Vucevic,84,260,5
237,462,59,189,159,260,31.2,61.2,Moritz,Wagner,83,245,5
238,464,84,234,141,275,35.9,51.3,Lonnie,Walker IV,77,205,1
239,465,8,39,22,38,20.5,57.9,Kemba,Walker,73,184,1
240,467,23,88,76,175,26.1,43.4,John,Wall,76,210,1
241,469,25,86,123,239,29.1,51.5,T.J.,Warren,80,215,3
242,470,75,138,47,86,54.3,54.7,Yuta,Watanabe,81,205,1
243,472,127,343,396,793,37.0,49.9,Russell,Westbrook,75,200,1
244,473,199,486,266,464,40.9,57.3,Derrick,White,76,190,1
245,475,113,288,215,392,39.2,54.8,Andrew,Wiggins,80,194,3
246,476,0,3,210,265,0.0,79.2,Robert,Williams III,82,240,5
247,480,45,127,138,220,35.4,62.7,Kenrich,Williams,79,210,1
248,485,14,51,81,170,27.5,47.6,Justise,Winslow,79,225,3
249,486,138,346,339,598,39.9,56.7,Christian,Wood,82,214,3
250,487,55,161,121,206,34.2,58.7,Delon,Wright,77,183,1
251,489,7,41,115,178,17.1,64.6,Thaddeus,Young,80,221,3
252,490,164,494,513,1047,33.2,49.0,Trae,Young,74,180,1
253,491,0,3,50,76,0.0,65.8,Cody,Zeller,84,240,5
254,493,0,4,408,641,0.0,63.7,Ivica,Zubac,85,240,5
255,2175,28,106,53,80,26.4,66.2,Danuel,House Jr.,79,220,NaN
256,3089,154,417,212,439,36.9,48.3,Gary,Trent Jr.,78,205,NaN
257,3092,47,118,63,110,39.8,57.3,Haywood,Highsmith,79,220,NaN
